dataset,scenario_code,scenario_name,uses_yake,includes_content,yake_comparison_role,comparison_group,split,jumlah_data,persentase
Kompas,K1,Title,False,False,not_applicable,representation_ablation,train,7997,79.994
Kompas,K1,Title,False,False,not_applicable,representation_ablation,validation,1000,10.003
Kompas,K1,Title,False,False,not_applicable,representation_ablation,test,1000,10.003
Kompas,K2,Title + Description,False,False,baseline_without_yake,K2_vs_K3_yake_ablation,train,7997,79.994
Kompas,K2,Title + Description,False,False,baseline_without_yake,K2_vs_K3_yake_ablation,validation,1000,10.003
Kompas,K2,Title + Description,False,False,baseline_without_yake,K2_vs_K3_yake_ablation,test,1000,10.003
Kompas,K3,Title + Description + Keyword YAKE,True,False,treatment_with_yake,K2_vs_K3_yake_ablation,train,7997,79.994
Kompas,K3,Title + Description + Keyword YAKE,True,False,treatment_with_yake,K2_vs_K3_yake_ablation,validation,1000,10.003
Kompas,K3,Title + Description + Keyword YAKE,True,False,treatment_with_yake,K2_vs_K3_yake_ablation,test,1000,10.003
AG News Train,A1,Title,False,False,not_applicable,agnews_text_ablation,train,107835,89.9997
AG News Train,A1,Title,False,False,not_applicable,agnews_text_ablation,validation,11982,10.0003
AG News Train,A2,Title + Description,False,False,not_applicable,agnews_text_ablation,train,107835,89.9997
AG News Train,A2,Title + Description,False,False,not_applicable,agnews_text_ablation,validation,11982,10.0003
AG News Test,A1,Title,False,False,not_applicable,agnews_text_ablation,test,7600,100.0
AG News Test,A2,Title + Description,False,False,not_applicable,agnews_text_ablation,test,7600,100.0
