hour,jumlah_berita,rentang_jam,persentase
0,52,00:00–00:59,0.5202
1,41,01:00–01:59,0.4101
2,17,02:00–02:59,0.1701
3,30,03:00–03:59,0.3001
4,122,04:00–04:59,1.2204
5,309,05:00–05:59,3.0909
6,558,06:00–06:59,5.5817
7,587,07:00–07:59,5.8718
8,623,08:00–08:59,6.2319
9,640,09:00–09:59,6.4019
10,666,10:00–10:59,6.662
11,634,11:00–11:59,6.3419
12,627,12:00–12:59,6.2719
13,656,13:00–13:59,6.562
14,631,14:00–14:59,6.3119
15,688,15:00–15:59,6.8821
16,636,16:00–16:59,6.3619
17,539,17:00–17:59,5.3916
18,483,18:00–18:59,4.8314
19,511,19:00–19:59,5.1115
20,355,20:00–20:59,3.5511
21,320,21:00–21:59,3.201
22,177,22:00–22:59,1.7705
23,95,23:00–23:59,0.9503
