experiment_name,model,dataset,scenario_code,scenario_name,sequence_length,jumlah_test,correct_predictions,incorrect_predictions,accuracy,precision_macro,recall_macro,f1_macro,log_loss,inference_time_seconds,average_inference_ms_per_sample
attention_bilstm_a1,Attention-BiLSTM,AG News,A1,Title,60,7600,6603,997,0.8688157894736842,0.8683764507261714,0.8688157894736842,0.8683701927902188,0.3783642311204203,3.510857,0.461955
attention_bilstm_a2,Attention-BiLSTM,AG News,A2,Title + Description,60,7600,6927,673,0.9114473684210528,0.9112837361442182,0.9114473684210528,0.9110709871788676,0.2715089639987585,3.655642,0.481006
cnn_a1,CNN,AG News,A1,Title,60,7600,6631,969,0.8725,0.872075024183171,0.8725,0.8721047683701564,0.3788494776766197,1.585268,0.208588
cnn_a2,CNN,AG News,A2,Title + Description,60,7600,6968,632,0.916842105263158,0.9174456300203492,0.916842105263158,0.9168050709752416,0.2740203846480049,1.516992,0.199604
attention_bilstm_k1,Attention-BiLSTM,Kompas,K1,Title,20,1000,944,56,0.944,0.9438054413735806,0.944,0.9438325024922908,0.1788097925303901,1.076388,1.076388
attention_bilstm_k2,Attention-BiLSTM,Kompas,K2,Title + Description,60,1000,968,32,0.968,0.9683403314989336,0.968,0.9680427375865936,0.1115295842585004,1.066817,1.066817
attention_bilstm_k3,Attention-BiLSTM,Kompas,K3,Title + Description + Keyword YAKE,60,1000,958,42,0.958,0.9580950775632824,0.958,0.9578833740254084,0.1235027823758376,1.716941,1.716941
cnn_k1,CNN,Kompas,K1,Title,20,1000,938,62,0.938,0.9380522864351688,0.938,0.9379869525019224,0.1682901814716786,0.57276,0.57276
cnn_k2,CNN,Kompas,K2,Title + Description,60,1000,969,31,0.969,0.9691714932985146,0.969,0.9690358618620192,0.0911827109664612,0.537634,0.537634
cnn_k3,CNN,Kompas,K3,Title + Description + Keyword YAKE,60,1000,959,41,0.959,0.9599469524607926,0.959,0.9590609517111816,0.1121888825796525,0.47143,0.47143
